,Sample Number,Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
56,57,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.0,17.5,186.0,3550.0,FEMALE,8.57199,-26.07188
57,58,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,40.6,18.8,193.0,3800.0,MALE,8.56674,-25.98843
58,59,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,36.5,16.6,181.0,2850.0,FEMALE,9.07878,-25.88156
59,60,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.6,19.1,194.0,3750.0,MALE,9.108,-25.89677
60,61,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.7,16.9,185.0,3150.0,FEMALE,8.96472,-26.40943
61,62,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.3,21.1,195.0,4400.0,MALE,8.74802,-26.37809
62,63,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.6,17.0,185.0,3600.0,FEMALE,8.58063,-26.21569
63,64,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.1,18.2,192.0,4050.0,MALE,8.62264,-26.60023
64,65,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,36.4,17.1,184.0,2850.0,FEMALE,8.62623,-26.1165
65,66,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.6,18.0,192.0,3950.0,MALE,8.85562,-26.09294
66,67,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.5,16.2,195.0,3350.0,FEMALE,8.56192,-25.95541
67,68,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.1,19.1,188.0,4100.0,MALE,8.71078,-25.81012
68,69,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,35.9,16.6,190.0,3050.0,FEMALE,8.47781,-26.07821
69,70,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,41.8,19.4,198.0,4450.0,MALE,8.86853,-26.06209
70,71,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,33.5,19.0,190.0,3600.0,FEMALE,7.88863,-26.63085
71,72,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.7,18.4,190.0,3900.0,MALE,9.29808,-25.23453
72,73,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.6,17.2,196.0,3550.0,FEMALE,8.33524,-26.55351
73,74,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,45.8,18.9,197.0,4150.0,MALE,8.18658,-26.45978
74,75,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,35.5,17.5,190.0,3700.0,FEMALE,8.70642,-26.15003
75,76,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.8,18.5,195.0,4250.0,MALE,8.2993,-26.38986
76,77,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,40.9,16.8,191.0,3700.0,FEMALE,8.47257,-26.02002
77,78,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.2,19.4,184.0,3900.0,MALE,8.3554,-26.44787
78,79,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.2,16.1,187.0,3550.0,FEMALE,7.82381,-26.51382
79,80,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.1,19.1,195.0,4000.0,MALE,9.05736,-25.81513
80,81,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,34.6,17.2,189.0,3200.0,FEMALE,7.69778,-26.5387
81,82,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.9,17.6,196.0,4700.0,MALE,8.63259,-26.23027
82,83,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.7,18.8,187.0,3800.0,FEMALE,7.88494,-26.24837
83,84,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,35.1,19.4,193.0,4200.0,MALE,8.90002,-26.46254
84,85,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.3,17.8,191.0,3350.0,FEMALE,8.32718,-26.38396
85,86,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,41.3,20.3,194.0,3550.0,MALE,9.14863,-26.09635
86,87,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.3,19.5,190.0,3800.0,MALE,8.57087,-26.22227
87,88,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.9,18.6,189.0,3500.0,FEMALE,8.59147,-26.08165
88,89,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,38.3,19.2,189.0,3950.0,MALE,9.07826,-26.12417
89,90,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,38.9,18.8,190.0,3600.0,FEMALE,8.36936,-26.11199
90,91,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,35.7,18.0,202.0,3550.0,FEMALE,8.46531,-26.05621
91,92,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,41.1,18.1,205.0,4300.0,MALE,8.77018,-25.83352
92,93,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,34.0,17.1,185.0,3400.0,FEMALE,8.01485,-26.69543
93,94,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.6,18.1,186.0,4450.0,MALE,8.49915,-26.42406
94,95,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.2,17.3,187.0,3300.0,FEMALE,8.90723,-26.30037
95,96,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.8,18.9,208.0,4300.0,MALE,8.48204,-26.57941
96,97,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,38.1,18.6,190.0,3700.0,FEMALE,8.10277,-26.50086
97,98,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.3,18.5,196.0,4350.0,MALE,8.39459,-26.01152
98,99,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,33.1,16.1,178.0,2900.0,FEMALE,9.04218,-26.15775
99,100,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,43.2,18.5,192.0,4100.0,MALE,8.97025,-26.03679
100,101,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.0,17.9,192.0,3725.0,FEMALE,8.84451,-26.28055
101,102,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.0,20.0,203.0,4725.0,MALE,9.01079,-26.38085
102,103,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.7,16.0,183.0,3075.0,FEMALE,9.2151,-26.2253
103,104,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.8,20.0,190.0,4250.0,MALE,9.51929,-25.69199
104,105,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.9,18.6,193.0,2925.0,FEMALE,9.02642,-25.86482
105,106,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.7,18.9,184.0,3550.0,MALE,8.85699,-25.80208
106,107,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.48973
107,108,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.2,20.0,190.0,3900.0,MALE,9.59245,-25.70711
108,109,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.1,17.0,181.0,3175.0,FEMALE,9.79532,-25.27385
109,110,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,43.2,19.0,197.0,4775.0,MALE,9.31735,-25.45171
110,111,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.1,16.5,198.0,3825.0,FEMALE,8.43951,-26.57563
111,112,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,45.6,20.3,191.0,4600.0,MALE,8.65466,-26.32909
112,113,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.7,17.7,193.0,3200.0,FEMALE,9.02657,-26.06203
113,114,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,42.2,19.5,197.0,4275.0,MALE,8.80186,-26.41218
114,115,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.6,20.7,191.0,3900.0,FEMALE,8.80967,-26.78958
115,116,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,42.7,18.3,196.0,4075.0,MALE,8.91434,-26.42018
116,117,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,38.6,17.0,188.0,2900.0,FEMALE,9.18021,-25.77264
117,118,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.3,20.5,199.0,3775.0,MALE,9.49645,-26.36678
118,119,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,35.7,17.0,189.0,3350.0,FEMALE,8.96436,-23.90309
119,120,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,41.1,18.6,189.0,3325.0,MALE,9.32277,-26.09989
120,121,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,36.2,17.2,187.0,3150.0,FEMALE,9.04296,-26.19444
121,122,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,37.7,19.8,198.0,3500.0,MALE,9.11066,-26.42563
122,123,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,40.2,17.0,176.0,3450.0,FEMALE,9.30722,-25.61039
123,124,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,41.4,18.5,202.0,3875.0,MALE,9.59462,-25.42621
124,125,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,35.2,15.9,186.0,3050.0,FEMALE,8.81668,-25.95399
125,126,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,40.6,19.0,199.0,4000.0,MALE,9.22537,-25.60826
126,127,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,38.8,17.6,191.0,3275.0,FEMALE,8.88098,-25.89741
127,128,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,41.5,18.3,195.0,4300.0,MALE,8.52566,-26.0245
128,129,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.0,17.1,191.0,3050.0,FEMALE,9.19031,-25.73722
129,130,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,44.1,18.0,210.0,4000.0,MALE,9.10702,-26.01363
130,131,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,38.5,17.9,190.0,3325.0,FEMALE,8.9846,-25.57956
131,132,Adelie Penguin (Pygoscelis adeliae),Torgersen,No,43.1,19.2,197.0,3500.0,MALE,8.86495,-26.1396
132,133,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.8,18.5,193.0,3500.0,FEMALE,8.98705,-25.57647
133,134,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.5,18.5,199.0,4475.0,MALE,8.56708,-26.49288
134,135,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,38.1,17.6,187.0,3425.0,FEMALE,8.717,-25.77951
135,136,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,41.1,17.5,190.0,3900.0,MALE,8.94365,-26.06943
136,137,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,35.6,17.5,191.0,3175.0,FEMALE,8.75984,-25.97696
137,138,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.2,20.1,200.0,3975.0,MALE,8.95998,-26.32601
138,139,Adelie Penguin (Pygoscelis adeliae),Dream,No,37.0,16.5,185.0,3400.0,FEMALE,8.61651,-26.07021
139,140,Adelie Penguin (Pygoscelis adeliae),Dream,No,39.7,17.9,193.0,4250.0,MALE,9.25769,-25.88798
140,141,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.2,17.1,193.0,3400.0,FEMALE,9.2881,-25.54976
141,142,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.6,17.2,187.0,3475.0,MALE,9.23408,-26.01549
142,143,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,32.1,15.5,188.0,3050.0,FEMALE,8.79787,-26.61075
143,144,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.7,17.0,190.0,3725.0,MALE,9.05674,-25.79529
144,145,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.3,16.8,192.0,3000.0,FEMALE,9.06829,-25.85203
145,146,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.0,18.7,185.0,3650.0,MALE,9.22033,-26.03442
146,147,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.2,18.6,190.0,4250.0,MALE,9.11006,-25.79549
147,148,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.6,18.4,184.0,3475.0,FEMALE,8.68744,-25.8306
148,149,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.0,17.8,195.0,3450.0,FEMALE,8.94332,-25.79189
149,150,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.8,18.1,193.0,3750.0,MALE,8.97533,-26.03495
150,151,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.0,17.1,187.0,3700.0,FEMALE,8.93465,-26.07081
151,152,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,41.5,18.5,201.0,4000.0,MALE,8.8964,-26.06967
152,1,Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.5,17.9,192.0,3500.0,FEMALE,9.03935,-24.30229
153,2,Chinstrap penguin (Pygoscelis antarctica),Dream,No,50.0,19.5,196.0,3900.0,MALE,8.92069,-24.23592
154,3,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.3,19.2,193.0,3650.0,MALE,9.29078,-24.7557
155,4,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.4,18.7,188.0,3525.0,FEMALE,8.64701,-24.62717
156,5,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.7,19.8,197.0,3725.0,MALE,9.00642,-24.61867
157,6,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.2,17.8,198.0,3950.0,FEMALE,8.88942,-24.49433
158,7,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.1,18.2,178.0,3250.0,FEMALE,8.85664,-24.55644
159,8,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.3,18.2,197.0,3750.0,MALE,8.63701,-24.84059
160,9,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.0,18.9,195.0,4150.0,FEMALE,8.47173,-24.29229
161,10,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.3,19.9,198.0,3700.0,MALE,8.79581,-24.36088
162,11,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.6,17.8,193.0,3800.0,FEMALE,8.95063,-24.59897
163,12,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.7,20.3,194.0,3775.0,MALE,8.68747,-24.38751
164,13,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,47.0,17.3,185.0,3700.0,FEMALE,8.72037,-24.80526
165,14,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.0,18.1,201.0,4050.0,MALE,9.0233,-24.38933
166,15,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.9,17.1,190.0,3575.0,FEMALE,9.12277,-24.90024
167,16,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.5,19.6,201.0,4050.0,MALE,9.8059,-24.7294
168,17,Chinstrap penguin (Pygoscelis antarctica),Dream,No,50.3,20.0,197.0,3300.0,MALE,10.02019,-24.54704
169,18,Chinstrap penguin (Pygoscelis antarctica),Dream,No,58.0,17.8,181.0,3700.0,FEMALE,9.14382,-24.57994
170,19,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.4,18.6,190.0,3450.0,FEMALE,9.32105,-24.64162
171,20,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.2,18.2,195.0,4400.0,MALE,9.27158,-24.64335
172,21,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.4,17.3,181.0,3600.0,FEMALE,9.35138,-24.6879
173,22,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,48.5,17.5,191.0,3400.0,MALE,9.42666,-24.26375
174,23,Chinstrap penguin (Pygoscelis antarctica),Dream,No,43.2,16.6,187.0,2900.0,FEMALE,9.35416,-25.01185
175,24,Chinstrap penguin (Pygoscelis antarctica),Dream,No,50.6,19.4,193.0,3800.0,MALE,9.28153,-24.97134
176,25,Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.7,17.9,195.0,3300.0,FEMALE,9.74144,-24.59467
177,26,Chinstrap penguin (Pygoscelis antarctica),Dream,No,52.0,19.0,197.0,4150.0,MALE,9.36799,-24.47142
178,27,Chinstrap penguin (Pygoscelis antarctica),Dream,No,50.5,18.4,200.0,3400.0,FEMALE,8.9399,-23.89017
179,28,Chinstrap penguin (Pygoscelis antarctica),Dream,No,49.5,19.0,200.0,3800.0,MALE,9.63074,-24.34684
180,29,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.4,17.8,191.0,3700.0,FEMALE,9.37369,-24.52896
181,30,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.8,20.0,205.0,4550.0,MALE,9.25177,-24.69638
182,31,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,40.9,16.6,187.0,3200.0,FEMALE,9.08458,-24.54903
183,32,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,54.2,20.8,201.0,4300.0,MALE,9.49283,-24.59996
184,33,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.5,16.7,187.0,3350.0,FEMALE,9.36668,-24.45195
185,34,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.0,18.8,203.0,4100.0,MALE,9.23196,-24.17282
186,35,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.7,18.6,195.0,3600.0,MALE,9.75486,-24.31198
187,36,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,47.5,16.8,199.0,3900.0,FEMALE,9.07825,-25.1455
188,37,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,47.6,18.3,195.0,3850.0,FEMALE,8.83502,-24.65859
189,38,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.0,20.7,210.0,4800.0,MALE,9.43146,-24.6844
190,39,Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.9,16.6,192.0,2700.0,FEMALE,9.80589,-24.73735
191,40,Chinstrap penguin (Pygoscelis antarctica),Dream,No,53.5,19.9,205.0,4500.0,MALE,10.02544,-24.90816
192,41,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.0,19.5,210.0,3950.0,MALE,9.53262,-24.66867
193,42,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.2,17.5,187.0,3650.0,FEMALE,9.61734,-24.66188
194,43,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.9,19.1,196.0,3550.0,MALE,10.02372,-24.86594
195,44,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.5,17.0,196.0,3500.0,FEMALE,9.36493,-24.66259
196,45,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.9,17.9,196.0,3675.0,FEMALE,9.43684,-24.16566
197,46,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.8,18.5,201.0,4450.0,MALE,9.45827,-24.35575
198,47,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.1,17.9,190.0,3400.0,FEMALE,9.46819,-24.45721
199,48,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.0,19.6,212.0,4300.0,MALE,9.34089,-24.45189
200,49,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.5,18.7,187.0,3250.0,MALE,9.6895,-24.43062
201,50,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.8,17.3,198.0,3675.0,FEMALE,9.32169,-24.41562
202,51,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,48.1,16.4,199.0,3325.0,FEMALE,9.46929,-24.48403
203,52,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.4,19.0,201.0,3950.0,MALE,9.43782,-24.36202
204,53,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.7,17.3,193.0,3600.0,FEMALE,9.415,-24.805
205,54,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.7,19.7,203.0,4050.0,MALE,9.93727,-24.59066
206,55,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.5,17.3,187.0,3350.0,FEMALE,9.56534,-24.60882
207,56,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.2,18.8,197.0,3450.0,MALE,9.77528,-24.56481
